brown_login,brown_id,source,user_found,found_through,employment_status,employee_type,emp_status_date,affiliate_status,affiliate_start,affiliate_end,student_status_code,student_separation,blocked_reason
ll7,020498292,Workday,found,{'brown_login': 'll7'},A,F,07/01/2011,N,05/31/2011,06/17/2011,,,
llebel,010506709,Workday,found,{'brown_login': 'llebel'},A,E,08/29/2011,,,,,,
llehnen,140238676,Workday,found,{'brown_login': 'llehnen'},A,F,07/01/2018,,,,,,
lleslie3,140455651,Workday,found,{'brown_login': 'lleslie3'},A,E,07/22/2021,,,,,,
lrbass,010437317,Workday,found,{'brown_login': 'lrbass'},P,F,07/01/2012,,,,,,
lroqueta,140775838,Workday,found,{'brown_login': 'lroqueta'},A,N,01/21/2025,,,,,,
lvanwey,010319854,Workday,found,{'brown_login': 'lvanwey'},A,F,07/01/2022,,,,,,
lw28,010372872,Workday,found,{'brown_login': 'lw28'},A,F,09/01/2009,,,,,,
mbandrad,010023142,Workday,found,{'brown_login': 'mbandrad'},A,E,11/16/1992,,,,,,
mbarchi,010023297,Workday,found,{'brown_login': 'mbarchi'},A,E,03/21/1988,,,,,,
mblyth,010370217,Workday,found,{'brown_login': 'mblyth'},P,F,07/01/2009,,,,,,
mbryson,010146232,Workday,found,{'brown_login': 'mbryson'},A,E,11/11/2002,,,,,,
mchris29,140803835,Workday,found,{'brown_login': 'mchris29'},A,N,02/13/2025,,,,,,
mhoffm15,140649574,Workday,found,{'brown_login': 'mhoffm15'},A,E,04/03/2023,,,,,,
miwhite,010029968,Workday,found,{'brown_login': 'miwhite'},A,F,07/01/2022,,,,,,
mjohn102,140456233,Workday,found,{'brown_login': 'mjohn102'},A,E,08/16/2021,,,,,,
mjohnso1,010171412,Workday,found,{'brown_login': 'mjohnso1'},A,F,09/01/2004,,,,,,
mleiber,020110016,Workday,found,{'brown_login': 'mleiber'},A,N,06/23/2010,N,07/12/1999,03/02/2002,,,
mlyddon,100303130,Workday,found,{'brown_login': 'mlyddon'},A,E,08/01/2016,,,,G,06/27/2016,
mmarin5,140679269,Workday,found,{'brown_login': 'mmarin5'},A,E,11/03/2023,,,,,,
mmazzeo3,140770156,Workday,found,{'brown_login': 'mmazzeo3'},A,N,11/11/2024,,,,,,
mnichola,010108660,Workday,found,{'brown_login': 'mnichola'},A,E,06/12/2000,,,,,,
mredfiel,010430315,Workday,found,{'brown_login': 'mredfiel'},A,F,07/01/2021,,,,,,
mriva,010028489,Workday,found,{'brown_login': 'mriva'},A,F,07/01/1990,,,,,,
mrutz,010364068,Workday,found,{'brown_login': 'mrutz'},A,F,07/01/2009,,,,,,
msalmans,140597007,Workday,found,{'brown_login': 'msalmans'},A,N,12/08/2022,,,,,,
msatlow,010144158,Workday,found,{'brown_login': 'msatlow'},A,F,07/01/2002,,,,,,
msaurett,010028769,Workday,found,{'brown_login': 'msaurett'},A,N,08/13/2018,,,,,,
mschmied,140448590,Workday,found,{'brown_login': 'mschmied'},A,E,04/05/2021,,,,,,
mvaquero,010029735,Workday,found,{'brown_login': 'mvaquero'},A,F,07/01/1989,,,,,,
mwoycik,010676750,Workday,found,{'brown_login': 'mwoycik'},A,E,08/19/2013,,,,,,
nbarnett,010038708,Workday,found,{'brown_login': 'nbarnett'},A,F,10/01/1999,,,,,,
nleschen,140688664,Workday,found,{'brown_login': 'nleschen'},A,N,12/06/2023,,,,,,
npadture,010520765,Workday,found,{'brown_login': 'npadture'},P,F,01/01/2012,N,08/24/2011,01/01/2012,,,
nreyes6,140735435,Workday,found,{'brown_login': 'nreyes6'},A,N,01/30/2024,,,,,,
nsafian,010028677,Workday,found,{'brown_login': 'nsafian'},A,E,06/25/2018,,,,,,
nshibusa,010170393,Workday,found,{'brown_login': 'nshibusa'},A,F,07/01/2004,,,,,,
ntannenw,010029442,Workday,found,{'brown_login': 'ntannenw'},A,F,07/01/1997,,,,,,
nvadnais,010437117,Workday,found,{'brown_login': 'nvadnais'},A,E,06/29/2010,,,,,,
paheller,010119847,Workday,found,{'brown_login': 'paheller'},A,F,07/01/2000,,,,,,
pborojer,140707778,Workday,found,{'brown_login': 'pborojer'},A,E,01/22/2024,,,,,,
pchomowi,140053809,Workday,found,{'brown_login': 'pchomowi'},A,E,02/09/2022,,,,,,
pdarezzo,010024421,Workday,found,{'brown_login': 'pdarezzo'},A,N,03/01/2022,,,,,,
pdavey,010173192,Workday,found,{'brown_login': 'pdavey'},A,N,11/22/2004,,,,,,
penelson,010027696,Workday,found,{'brown_login': 'penelson'},A,E,08/27/1990,,,,G,06/01/1988,
pjmurphy,010173243,Workday,found,{'brown_login': 'pjmurphy'},A,E,12/01/2004,,,,,,
pmurray7,140829565,Workday,found,{'brown_login': 'pmurray7'},A,N,11/04/2025,,,,,,
ppandey,140108169,Workday,found,{'brown_login': 'ppandey'},A,E,12/06/2023,,,,,,
prisciad,010066403,Workday,found,{'brown_login': 'prisciad'},P,F,07/01/1998,,,,,,
ptejeda,140298142,Workday,found,{'brown_login': 'ptejeda'},A,E,02/18/2019,,,,,,
pvandomm,010586929,Workday,found,{'brown_login': 'pvandomm'},A,F,07/01/2012,,,,,,
pwilliar,010030019,Workday,found,{'brown_login': 'pwilliar'},A,F,07/01/1979,,,,,,
pybarra,020169741,Workday,found,{'brown_login': 'pybarra'},A,F,07/01/2004,N,06/18/2004,03/23/2005,,,
raubert,140133399,Workday,found,{'brown_login': 'raubert'},A,F,07/01/2019,,,,,,
rbahar,010023256,Workday,found,{'brown_login': 'rbahar'},A,F,01/01/2022,,,,,,
rbardsle,010124977,Workday,found,{'brown_login': 'rbardsle'},A,E,10/11/2022,,,,,,
rbennett,010190430,Workday,found,{'brown_login': 'rbennett'},A,F,01/01/2006,,,,,,
rbennett,010190430,Workday,found,{'brown_login': 'rbennett'},A,F,01/01/2006,,,,,,
rburwell,010044069,Workday,found,{'brown_login': 'rburwell'},A,F,07/01/2023,,,,,,
rc61,010677304,Workday,found,{'brown_login': 'rc61'},A,F,09/01/2014,,,,TS,01/22/2014,
rdaigle2,140569083,Workday,found,{'brown_login': 'rdaigle2'},A,N,06/06/2022,,,,,,
rdiotte,140597389,Workday,found,{'brown_login': 'rdiotte'},A,N,01/09/2023,,,,,,
rgaitske,010132998,Workday,found,{'brown_login': 'rgaitske'},A,F,09/01/2001,,,,,,
rgcrane,010124911,Workday,found,{'brown_login': 'rgcrane'},A,E,11/01/2000,,,,,,
rhall1,140005485,Workday,found,{'brown_login': 'rhall1'},A,E,12/15/2014,,,,,,
rlaferr1,140184406,Workday,found,{'brown_login': 'rlaferr1'},A,E,07/18/2018,N,10/23/2017,02/25/2018,,,
rmoniz,010116494,Workday,found,{'brown_login': 'rmoniz'},A,N,04/20/2006,,,,,,
rrambuss,010505277,Workday,found,{'brown_login': 'rrambuss'},P,F,07/01/2011,,,,,,
rsousa,010119972,Workday,found,{'brown_login': 'rsousa'},A,E,07/05/2000,,,,,,
rtamassi,010029430,Workday,found,{'brown_login': 'rtamassi'},A,F,07/01/1988,,,,,,
sa74,020677373,Workday,found,{'brown_login': 'sa74'},A,E,03/07/2022,N,12/07/2017,07/07/2022,,,
sag3,020320472,Workday,found,{'brown_login': 'sag3'},A,E,09/15/2008,N,08/05/2008,09/15/2008,,,
sanderbo,010663443,Workday,found,{'brown_login': 'sanderbo'},A,F,07/01/2013,,,,,,
sbonde,010023591,Workday,found,{'brown_login': 'sbonde'},A,F,07/01/2024,,,,,,
sbrough,010213285,Workday,found,{'brown_login': 'sbrough'},A,E,11/27/2006,,,,,,
sbuka,010023786,Workday,found,{'brown_login': 'sbuka'},A,F,04/01/1984,,,,,,
scartwr4,140586554,Workday,found,{'brown_login': 'scartwr4'},A,N,09/20/2023,,,,,,
sevdokim,010024969,Workday,found,{'brown_login': 'sevdokim'},A,F,07/01/1991,,,,,,
sh93,010417724,Workday,found,{'brown_login': 'sh93'},P,E,02/23/2010,,,,,,
shouston,010169729,Workday,found,{'brown_login': 'shouston'},A,F,07/01/2004,,,,,,
sjpeirce,140661240,Workday,found,{'brown_login': 'sjpeirce'},A,E,06/01/2023,,,,,,
slmoffit,010370654,Workday,found,{'brown_login': 'slmoffit'},A,F,07/01/2009,,,,,,
sloo1,140455701,Workday,found,{'brown_login': 'sloo1'},A,E,08/02/2021,,,,,,
smcgarve,010027249,Workday,found,{'brown_login': 'smcgarve'},A,F,10/01/2025,,,,,,
