brown_login,source,brown_id,user_found,found_through,student_status_code,employment_status,employee_type,emp_status_date,student_separation,affiliate_status,affiliate_start,affiliate_end,blocked_reason
ydeng43,Banner,140487630,found,{'brown_login': 'ydeng43'},AS,A,G,06/01/2022,,,,,
evdesai,Banner,140687413,found,{'brown_login': 'evdesai'},AS,A,G,06/01/2024,,,,,
zdong26,Banner,140408368,found,{'brown_login': 'zdong26'},AS,A,G,05/01/2021,,,,,
jdovan,Banner,140667281,found,{'brown_login': 'jdovan'},AS,A,S,07/18/2025,,,,,
kdunham,Banner,140001935,found,{'brown_login': 'kdunham'},AS,A,G,08/16/2025,,,,,
eelenio,Banner,140333149,found,{'brown_login': 'eelenio'},AS,A,G,09/01/2024,,N,06/18/2024,05/31/2025,
jmelsham,Banner,140664570,found,{'brown_login': 'jmelsham'},AS,A,S,06/30/2025,,,,,
eemick,Banner,140496344,found,{'brown_login': 'eemick'},AS,A,G,06/01/2022,,,,,
sene,Banner,140681479,found,{'brown_login': 'sene'},AS,T,S,05/31/2026,,,,,
cescoba9,Banner,140685251,found,{'brown_login': 'cescoba9'},AS,A,G,06/01/2024,,,,,
jfu55,Banner,140594093,found,{'brown_login': 'jfu55'},AS,A,G,06/01/2023,,,,,
cgfuente,Banner,140781946,found,{'brown_login': 'cgfuente'},AS,A,G,06/01/2025,,,,,
dgandara,Banner,140693559,found,{'brown_login': 'dgandara'},AS,A,G,06/01/2024,,,,,
jgangemi,Banner,140698463,found,{'brown_login': 'jgangemi'},AS,A,G,06/01/2024,,,,,
agupt165,Banner,140431508,found,{'brown_login': 'agupt165'},AS,T,S,06/30/2025,,,,,
kqho,Banner,140575955,found,{'brown_login': 'kqho'},AS,,,,,,,,
shodgman,Banner,140483933,found,{'brown_login': 'shodgman'},AS,A,G,06/01/2022,,,,,
lehowell,Banner,140687355,found,{'brown_login': 'lehowell'},AS,A,G,06/01/2024,,,,,
hhsieh8,Banner,140401949,found,{'brown_login': 'hhsieh8'},AS,A,G,06/01/2023,,,,,
jhuan247,Banner,140633802,found,{'brown_login': 'jhuan247'},AS,T,S,01/28/2026,,,,,
mjayawee,Banner,140500807,found,{'brown_login': 'mjayawee'},AS,A,S,07/01/2025,,,,,
yjian151,Banner,140597731,found,{'brown_login': 'yjian151'},AS,A,G,06/01/2023,,,,,
ajin6,Banner,140112478,found,{'brown_login': 'ajin6'},AS,A,S,04/28/2025,,N,09/01/2016,12/21/2016,
pjolin,Banner,140479581,found,{'brown_login': 'pjolin'},AS,A,S,08/19/2024,,,,,
akatz2,Banner,140035811,found,{'brown_login': 'akatz2'},AS,A,G,06/01/2022,,,,,
bkatz,Banner,140104908,found,{'brown_login': 'bkatz'},AS,,,,,N,07/06/2016,07/11/2016,
jketh,Banner,140668886,found,{'brown_login': 'jketh'},AS,,,,01/29/2025,N,09/09/2025,03/09/2026,
ekim199,Banner,140374179,found,{'brown_login': 'ekim199'},AS,A,S,03/08/2026,,,,,
nlee54,Banner,140400838,found,{'brown_login': 'nlee54'},AS,A,G,09/01/2022,,,,,
slee661,Banner,140599958,found,{'brown_login': 'slee661'},AS,A,G,06/01/2023,,,,,
alim10,Banner,140149529,found,{'brown_login': 'alim10'},AS,A,S,06/30/2025,,,,,
clin70,Banner,140288031,found,{'brown_login': 'clin70'},AS,A,S,07/22/2024,,,,,
slinjawy,Banner,140810569,found,{'brown_login': 'slinjawy'},AS,A,S,11/20/2025,,,,,
lliu123,Banner,140590286,found,{'brown_login': 'lliu123'},AS,T,S,08/14/2026,,,,,
wliu99,Banner,140689577,found,{'brown_login': 'wliu99'},AS,A,G,06/01/2024,,,,,
dmakelel,Banner,140586558,found,{'brown_login': 'dmakelel'},AS,A,S,12/01/2023,,,,,
amandapa,Banner,140330921,found,{'brown_login': 'amandapa'},AS,A,S,04/27/2026,,,,,
rmanthan,Banner,140173634,found,{'brown_login': 'rmanthan'},AS,A,S,07/31/2024,,,,,
mmaughan,Banner,140687231,found,{'brown_login': 'mmaughan'},AS,A,G,06/01/2024,,,,,
mamilton,Banner,140590751,found,{'brown_login': 'mamilton'},AS,,,,,,,,
dminchey,Banner,140779729,found,{'brown_login': 'dminchey'},AS,A,G,06/01/2025,,,,,
mmoafima,Banner,140367029,found,{'brown_login': 'mmoafima'},AS,A,G,06/01/2020,,,,,
nnajah,Banner,140187337,found,{'brown_login': 'nnajah'},AS,A,G,03/01/2026,,,,,
snapoleo,Banner,140313487,found,{'brown_login': 'snapoleo'},AS,A,G,09/01/2022,,N,07/10/2019,05/31/2021,
bnarvaez,Banner,140603417,found,{'brown_login': 'bnarvaez'},AS,A,S,11/03/2025,,,,,
unwanaji,Banner,140094253,found,{'brown_login': 'unwanaji'},AS,A,G,08/14/2022,,,,,
bohagan,Banner,140600733,found,{'brown_login': 'bohagan'},AS,A,G,09/01/2023,,,,,
vpark3,Banner,140418628,found,{'brown_login': 'vpark3'},AS,A,S,10/10/2025,,,,,
lfpasqua,Banner,140780415,found,{'brown_login': 'lfpasqua'},AS,A,G,06/01/2025,,,,,
cpcollin,Banner,140456820,found,{'brown_login': 'cpcollin'},AS,T,S,06/01/2022,09/07/2022,,,,
jpietro,Banner,100682380,found,{'brown_login': 'jpietro'},AS,A,S,07/22/2024,,N,07/27/2022,09/30/2022,
spitre,Banner,140485550,found,{'brown_login': 'spitre'},AS,A,G,06/01/2022,,,,,
apralea,Banner,140338236,found,{'brown_login': 'apralea'},AS,T,S,06/05/2024,,,,,
vrajasan,Banner,140689076,found,{'brown_login': 'vrajasan'},AS,T,N,06/30/2026,,Y,07/15/2026,09/08/2026,
aramasw3,Banner,140780393,found,{'brown_login': 'aramasw3'},AS,A,G,06/01/2025,,,,,
jranier1,Banner,140759810,found,{'brown_login': 'jranier1'},AS,T,N,12/19/2025,,,,,
areyno18,Banner,140781254,found,{'brown_login': 'areyno18'},AS,A,G,06/01/2025,,,,,
allegrar,Banner,140572942,found,{'brown_login': 'allegrar'},AS,,,,,,,,
arontog1,Banner,140687963,found,{'brown_login': 'arontog1'},AS,A,G,06/01/2024,,,,,
asaha25,Banner,140768880,found,{'brown_login': 'asaha25'},AS,A,S,08/17/2026,,,,,
wsellmay,Banner,140639299,found,{'brown_login': 'wsellmay'},AS,T,S,01/28/2026,,,,,
ssendhil,Banner,140596618,found,{'brown_login': 'ssendhil'},AS,A,G,06/01/2023,,,,,
lcshaw,Banner,140596900,found,{'brown_login': 'lcshaw'},AS,A,G,06/01/2023,,,,,
lshi35,Banner,140744166,found,{'brown_login': 'lshi35'},AS,T,S,06/03/2026,,,,,
askinne2,Banner,140081630,found,{'brown_login': 'askinne2'},AS,A,G,06/01/2022,,,,,
esong7,Banner,140169680,found,{'brown_login': 'esong7'},AS,A,S,07/22/2024,,,,,
estetten,Banner,140487582,found,{'brown_login': 'estetten'},AS,A,G,06/01/2022,,,,,
hstillma,Banner,140664685,found,{'brown_login': 'hstillma'},AS,A,S,06/16/2025,,,,,
ctswenso,Banner,140490595,found,{'brown_login': 'ctswenso'},AS,A,S,04/26/2026,,,,,
ithakkar,Banner,140624167,found,{'brown_login': 'ithakkar'},AS,A,S,07/08/2024,,,,,
atoby,Banner,140627814,found,{'brown_login': 'atoby'},AS,A,S,12/06/2024,,,,,
ktrinh4,Banner,140396265,found,{'brown_login': 'ktrinh4'},AS,A,G,05/01/2021,,,,,
vuzoechi,Banner,140600144,found,{'brown_login': 'vuzoechi'},AS,A,S,06/01/2026,,,,,
avertiko,Banner,140588171,found,{'brown_login': 'avertiko'},AS,A,S,12/19/2024,,,,,
tdviera,Banner,140628444,found,{'brown_login': 'tdviera'},AS,A,G,06/01/2023,,,,,
mvu14,Banner,140584484,found,{'brown_login': 'mvu14'},AS,,,,,,,,
gwalt,Banner,020671667,found,{'brown_login': 'gwalt'},AS,A,G,06/01/2024,,N,07/09/2013,08/14/2013,
mwang264,Banner,140560980,found,{'brown_login': 'mwang264'},AS,A,S,04/29/2025,,,,,
jweems,Banner,140487662,found,{'brown_login': 'jweems'},AS,A,G,09/01/2022,,N,08/05/2022,08/31/2022,
twynter,Banner,140580867,found,{'brown_login': 'twynter'},AS,,,,,,,,
jyeh12,Banner,140328754,found,{'brown_login': 'jyeh12'},AS,A,S,05/01/2022,,,,,
syu61,Banner,140346225,found,{'brown_login': 'syu61'},AS,A,S,03/13/2026,,,,,
hyun16,Banner,140487391,found,{'brown_login': 'hyun16'},AS,A,G,09/01/2022,,,,,
yzeng72,Banner,140780010,found,{'brown_login': 'yzeng72'},AS,A,G,06/01/2025,,,,,
tzhan191,Banner,140680978,found,{'brown_login': 'tzhan191'},AS,T,S,07/21/2026,,,,,
zzhou117,Banner,140441186,found,{'brown_login': 'zzhou117'},AS,A,G,06/01/2023,,,,,
bbeatty1,Banner,140389954,found,{'brown_login': 'bbeatty1'},G,A,S,03/08/2026,06/15/2026,,,,
abcampbe,Banner,140799282,found,{'brown_login': 'abcampbe'},G,A,S,09/29/2025,06/15/2026,,,,
ccoope13,Banner,140733953,found,{'brown_login': 'ccoope13'},G,A,G,06/01/2024,06/15/2026,,,,
mdewitt,Banner,140733055,found,{'brown_login': 'mdewitt'},G,A,S,09/18/2024,06/15/2026,,,,
mghumman,Banner,140707188,found,{'brown_login': 'mghumman'},G,A,G,06/01/2024,06/15/2026,,,,
chaynes5,Banner,140351083,found,{'brown_login': 'chaynes5'},G,A,G,08/15/2024,06/15/2026,,,,
ajohn107,Banner,140357286,found,{'brown_login': 'ajohn107'},G,A,G,06/01/2024,06/15/2026,,,,
clevine6,Banner,140444855,found,{'brown_login': 'clevine6'},G,A,S,01/29/2025,06/15/2026,,,,
cliu217,Banner,140475359,found,{'brown_login': 'cliu217'},G,A,S,08/31/2025,06/15/2026,,,,
jaowens,Banner,140694709,found,{'brown_login': 'jaowens'},G,A,G,09/01/2024,06/15/2026,,,,
apatino1,Banner,140477859,found,{'brown_login': 'apatino1'},G,A,S,04/26/2026,06/15/2026,,,,
arobin61,Banner,140686380,found,{'brown_login': 'arobin61'},G,A,G,09/01/2025,06/15/2026,,,,
otaylor5,Banner,140734117,found,{'brown_login': 'otaylor5'},G,A,G,06/01/2024,06/15/2026,,,,
lsthomas,Banner,140733711,found,{'brown_login': 'lsthomas'},G,A,G,09/01/2025,06/15/2026,,,,
rwelwean,Banner,140398511,found,{'brown_login': 'rwelwean'},G,A,G,05/01/2021,06/15/2026,,,,
jnickla1,Banner,140087425,found,{'brown_login': 'jnickla1'},L,A,G,09/01/2022,09/09/2026,,,,
krao12,Banner,140481588,found,{'brown_login': 'krao12'},LE,A,G,06/01/2022,09/09/2026,,,,
khinzen,Banner,140174578,found,{'brown_login': 'khinzen'},LM,T,S,09/25/2024,11/17/2025,N,05/15/2023,05/01/2024,
hjanjua1,Banner,140658066,found,{'brown_login': 'hjanjua1'},LP,T,E,12/31/2025,01/21/2026,,,,
ncouliba,Banner,140398495,found,{'brown_login': 'ncouliba'},TP,T,G,09/17/2025,09/03/2025,N,08/21/2025,05/31/2026,
ipenido,Banner,140192583,found,{'brown_login': 'ipenido'},TP,T,G,01/31/2026,01/21/2026,N,01/06/2026,05/31/2026,
hadrian1,OIM,140339000,found,{'brown_login': 'hadrian1'},G,T,E,08/01/2022,01/26/2022,Y,08/01/2022,05/14/2027,
daluthge,OIM,100451733,found,{'brown_login': 'daluthge'},G,T,G,09/11/2025,01/21/2026,Y,09/09/2025,09/09/2026,
ebritore,OIM,140196049,found,{'brown_login': 'ebritore'},G,T,G,06/03/2024,06/17/2024,Y,05/27/2024,04/06/2027,
hdorsain,OIM,140237011,found,{'brown_login': 'hdorsain'},G,A,S,08/22/2022,06/15/2026,Y,08/17/2026,08/16/2027,
jfabian1,OIM,140271194,found,{'brown_login': 'jfabian1'},G,T,G,09/11/2025,06/16/2025,Y,06/12/2025,05/13/2027,
lgovinda,OIM,140131810,found,{'brown_login': 'lgovinda'},G,T,G,01/24/2023,01/25/2023,Y,12/22/2022,10/07/2026,
hhower,OIM,000411923,found,{'brown_login': 'hhower'},G,T,F,01/16/2026,06/01/1999,Y,01/23/2026,12/31/2026,
gkamat,OIM,140321669,found,{'brown_login': 'gkamat'},G,T,G,08/14/2025,06/16/2025,Y,06/02/2025,05/27/2027,
dluzinco,OIM,100445157,found,{'brown_login': 'dluzinco'},G,T,S,08/12/2012,06/22/2015,Y,10/11/2021,07/01/2027,
zmaxwell,OIM,140179795,found,{'brown_login': 'zmaxwell'},G,T,S,08/24/2025,06/16/2025,Y,08/05/2025,08/04/2027,
vramanan,OIM,140325378,found,{'brown_login': 'vramanan'},G,T,G,09/11/2025,06/16/2025,Y,05/31/2025,12/31/2026,
lrizzott,OIM,140264995,found,{'brown_login': 'lrizzott'},G,T,G,05/31/2025,06/16/2025,Y,06/01/2025,04/08/2027,
mschaell,OIM,140332747,found,{'brown_login': 'mschaell'},G,A,G,06/01/2020,06/15/2026,Y,05/25/2026,05/20/2027,
xwang259,OIM,140393333,found,{'brown_login': 'xwang259'},G,T,S,09/12/2024,06/16/2025,Y,05/27/2025,05/27/2027,
sb38,OIM,110374187,found,{'brown_login': 'sb38'},TS,T,F,06/30/2025,01/22/2014,Y,12/16/2025,11/30/2026,
ballen7,OIM,140260280,found,{'brown_login': 'ballen7'},,,,,,Y,10/05/2023,07/06/2027,
cnavery,OIM,140797353,found,{'brown_login': 'cnavery'},,,,,,Y,01/07/2025,12/08/2026,
cbasarab,OIM,140759781,found,{'brown_login': 'cbasarab'},,,,,,Y,07/26/2024,06/15/2027,
zbleemer,OIM,140770150,found,{'brown_login': 'zbleemer'},,,,,,Y,10/28/2024,03/30/2027,
jbleiber,OIM,140377263,found,{'brown_login': 'jbleiber'},,T,E,08/15/2022,,Y,08/15/2022,04/17/2027,
kbirch,OIM,140315546,found,{'brown_login': 'kbirch'},,T,E,05/14/2026,,Y,05/04/2026,05/04/2027,
vbyeon,OIM,140829580,found,{'brown_login': 'vbyeon'},,,,,,Y,10/17/2025,10/16/2026,
icamillo,OIM,140452102,found,{'brown_login': 'icamillo'},,,,,,Y,06/15/2021,02/02/2027,
hcarter4,OIM,140455058,found,{'brown_login': 'hcarter4'},,T,E,12/09/2022,,Y,12/10/2022,08/11/2027,
ccaruth,OIM,140668626,found,{'brown_login': 'ccaruth'},,T,E,08/31/2025,,Y,08/25/2025,12/18/2026,
jcasano,OIM,140737555,found,{'brown_login': 'jcasano'},,,,,,Y,01/24/2024,12/01/2026,
echellap,OIM,140829007,found,{'brown_login': 'echellap'},,,,,,Y,09/29/2025,09/29/2026,
lchen229,OIM,140663166,found,{'brown_login': 'lchen229'},,,,,,Y,12/14/2023,12/31/2026,
eclark14,OIM,140357963,found,{'brown_login': 'eclark14'},,,,,,Y,12/16/2025,12/16/2026,
jcohen72,OIM,140828410,found,{'brown_login': 'jcohen72'},,,,,,Y,09/05/2025,08/05/2027,
ecrable,OIM,140823046,found,{'brown_login': 'ecrable'},,,,,,Y,07/09/2025,06/10/2027,
ccross8,OIM,140828978,found,{'brown_login': 'ccross8'},,,,,,Y,09/26/2025,09/26/2026,
dedwar14,OIM,140456229,found,{'brown_login': 'dedwar14'},,T,F,07/24/2023,,Y,07/25/2023,02/24/2027,
veisenso,OIM,140797354,found,{'brown_login': 'veisenso'},,,,,,Y,01/07/2025,12/08/2026,
agould5,OIM,140834217,found,{'brown_login': 'agould5'},,,,,,Y,01/12/2026,01/11/2027,
mgu13,OIM,140514341,found,{'brown_login': 'mgu13'},,,,,,Y,01/11/2022,12/10/2026,
hhill5,OIM,140272141,found,{'brown_login': 'hhill5'},,T,F,06/30/2023,,Y,01/01/2021,12/01/2026,
hho14,OIM,140249171,found,{'brown_login': 'hho14'},,T,E,06/23/2023,,Y,06/24/2023,03/23/2027,
thollow1,OIM,140661187,found,{'brown_login': 'thollow1'},,,,,,Y,05/16/2023,05/31/2027,
ahusain8,OIM,140766722,found,{'brown_login': 'ahusain8'},,,,,,Y,10/23/2024,09/11/2026,
vjent,OIM,140385067,found,{'brown_login': 'vjent'},,,,,,Y,04/01/2024,01/06/2027,
mkauffel,OIM,140852575,found,{'brown_login': 'mkauffel'},,,,,,Y,06/29/2026,06/29/2027,
ekelly17,OIM,140828603,found,{'brown_login': 'ekelly17'},,,,,,Y,09/11/2025,09/11/2026,
hkistler,OIM,140668978,found,{'brown_login': 'hkistler'},,T,F,08/01/2025,,Y,07/23/2025,06/23/2027,
jleano,OIM,140449315,found,{'brown_login': 'jleano'},,,,,,Y,04/13/2021,01/18/2027,
hli262,OIM,140666170,found,{'brown_login': 'hli262'},,,,,,Y,03/15/2024,02/02/2027,
yli965,OIM,140834225,found,{'brown_login': 'yli965'},,,,,,Y,01/13/2026,01/12/2027,
sloeb3,OIM,140184556,found,{'brown_login': 'sloeb3'},,T,F,06/30/2023,,Y,11/27/2023,09/29/2026,
smalik17,OIM,140187930,found,{'brown_login': 'smalik17'},,T,E,01/15/2026,,Y,01/16/2026,01/07/2027,
amart1,OIM,140828976,found,{'brown_login': 'amart1'},,,,,,Y,09/26/2025,09/26/2026,
amaus,OIM,140828604,found,{'brown_login': 'amaus'},,,,,,Y,09/11/2025,09/11/2026,
pmbekean,OIM,140452017,found,{'brown_login': 'pmbekean'},,T,F,04/14/2023,,Y,04/15/2023,03/04/2027,
kmckee4,OIM,140828977,found,{'brown_login': 'kmckee4'},,,,,,Y,09/26/2025,09/26/2026,
kmeyer6,OIM,140312745,found,{'brown_login': 'kmeyer6'},,T,F,06/30/2022,,Y,07/01/2022,03/09/2027,
lmilam1,OIM,140828614,found,{'brown_login': 'lmilam1'},,,,,,Y,09/12/2025,09/12/2026,
pmourala,OIM,140832865,found,{'brown_login': 'pmourala'},,,,,,Y,12/16/2025,12/16/2026,
lmouraca,OIM,140770151,found,{'brown_login': 'lmouraca'},,,,,,N,10/28/2024,08/01/2026,
rmurnane,OIM,140375461,found,{'brown_login': 'rmurnane'},,,,,,Y,05/19/2020,01/20/2027,
cnica,OIM,140667322,found,{'brown_login': 'cnica'},,,,,,Y,07/24/2023,05/31/2027,
cnugent3,OIM,140397363,found,{'brown_login': 'cnugent3'},,,,,,Y,02/12/2026,02/11/2027,
lnyangau,OIM,140810861,found,{'brown_login': 'lnyangau'},,,,,,Y,03/07/2025,02/05/2027,
fodindo,OIM,140831163,found,{'brown_login': 'fodindo'},,,,,,Y,11/06/2025,11/06/2026,
dodinya,OIM,140831956,found,{'brown_login': 'dodinya'},,,,,,Y,11/24/2025,11/24/2026,
fofori,OIM,140797357,found,{'brown_login': 'fofori'},,,,,,Y,07/31/2026,07/30/2027,
fokoth,OIM,140810122,found,{'brown_login': 'fokoth'},,,,,,Y,03/06/2025,02/04/2027,
aologuno,OIM,140596850,found,{'brown_login': 'aologuno'},,,,,,Y,04/10/2025,04/09/2027,
nomondi,OIM,140810121,found,{'brown_login': 'nomondi'},,,,,,Y,03/06/2025,02/04/2027,
gomukoko,OIM,140810118,found,{'brown_login': 'gomukoko'},,,,,,Y,03/06/2025,02/04/2027,
dpan19,OIM,140834218,found,{'brown_login': 'dpan19'},,,,,,Y,01/12/2026,01/11/2027,
mpankiew,OIM,140737557,found,{'brown_login': 'mpankiew'},,,,,,Y,01/24/2024,12/01/2026,
cpearsal,OIM,140804491,found,{'brown_login': 'cpearsal'},,,,,,Y,02/05/2025,02/10/2027,
epope,OIM,140216754,found,{'brown_login': 'epope'},,,,,,Y,07/08/2025,06/10/2027,
arobers4,OIM,140763992,found,{'brown_login': 'arobers4'},,,,,,Y,09/23/2024,08/17/2027,
crobin19,OIM,140372642,found,{'brown_login': 'crobin19'},,T,F,03/10/2023,,Y,03/11/2023,12/07/2026,
ssahabi,OIM,140829115,found,{'brown_login': 'ssahabi'},,,,,,Y,10/03/2025,10/03/2026,
mschreud,OIM,140832751,found,{'brown_login': 'mschreud'},,,,,,Y,12/11/2025,12/11/2026,
cshin27,OIM,140802136,found,{'brown_login': 'cshin27'},,,,,,Y,01/27/2025,12/28/2026,
jsims5,OIM,140828602,found,{'brown_login': 'jsims5'},,,,,,Y,09/11/2025,09/11/2026,
asolaare,OIM,140838390,found,{'brown_login': 'asolaare'},,,,,,Y,02/17/2026,02/16/2027,
bstanle3,OIM,140661254,found,{'brown_login': 'bstanle3'},,T,F,06/30/2025,,Y,06/17/2025,06/03/2027,
psunda10,OIM,140812396,found,{'brown_login': 'psunda10'},,,,,,Y,03/19/2025,02/17/2027,
rtaylorp,OIM,140828979,found,{'brown_login': 'rtaylorp'},,,,,,Y,09/26/2025,09/26/2026,
ltichner,OIM,140834067,found,{'brown_login': 'ltichner'},,,,,,Y,01/07/2026,12/31/2026,
atrucken,OIM,140828576,found,{'brown_login': 'atrucken'},,,,,,Y,09/10/2025,08/11/2027,
ovezina,OIM,140670325,found,{'brown_login': 'ovezina'},,T,N,07/17/2026,,Y,07/17/2026,07/13/2027,
vvrinda,OIM,140825900,found,{'brown_login': 'vvrinda'},,,,,,N,08/05/2025,08/04/2026,
zwei71,OIM,140811862,found,{'brown_login': 'zwei71'},,,,,,Y,03/14/2025,02/12/2027,
kwilso37,OIM,140828411,found,{'brown_login': 'kwilso37'},,,,,,Y,09/05/2025,08/05/2027,
mwinte11,OIM,140828608,found,{'brown_login': 'mwinte11'},,,,,,Y,09/12/2025,09/11/2026,
sworthma,OIM,140482232,found,{'brown_login': 'sworthma'},,,,,,Y,12/06/2023,08/10/2027,
azambra8,OIM,140831395,found,{'brown_login': 'azambra8'},,,,,,Y,11/14/2025,11/14/2026,
ezelakie,OIM,140754615,found,{'brown_login': 'ezelakie'},,,,,,Y,06/10/2024,06/05/2027,
kzhan157,OIM,140564623,found,{'brown_login': 'kzhan157'},,,,,,Y,02/16/2024,01/27/2027,
gbejaran,Workday,140596646,found,{'brown_login': 'gbejaran'},AS,A,F,07/01/2026,,,,,
schaud43,Workday,140781306,found,{'brown_login': 'schaud43'},AS,A,F,11/15/2025,,,,,
kkoukoun,Workday,140164595,found,{'brown_login': 'kkoukoun'},AS,A,E,07/31/2026,,,,,
arhorn,Workday,140798189,found,{'brown_login': 'arhorn'},AS,A,F,06/01/2026,,,,,
erego2,Workday,140675286,found,{'brown_login': 'erego2'},AS,A,E,12/09/2024,,N,10/25/2023,10/23/2025,
ja8,Workday,100217598,found,{'brown_login': 'ja8'},G,A,F,10/15/2024,01/22/2025,,,,
rakiki,Workday,140117823,found,{'brown_login': 'rakiki'},G,A,M,06/01/2021,05/12/2021,,,,
nayala,Workday,000430770,found,{'brown_login': 'nayala'},G,A,M,07/01/2023,06/20/2023,,,,
jbarredo,Workday,100222002,found,{'brown_login': 'jbarredo'},G,A,M,04/01/2021,06/23/2014,N,01/14/2015,09/29/2017,
tbayer,Workday,000421802,found,{'brown_login': 'tbayer'},G,A,M,07/01/2022,06/20/2023,,,,
kbekkeda,Workday,140641379,found,{'brown_login': 'kbekkeda'},G,A,E,07/22/2024,06/17/2024,,,,
mbellero,Workday,140399109,found,{'brown_login': 'mbellero'},G,A,F,06/01/2026,06/15/2026,,,,
vsbhatt,Workday,140561744,found,{'brown_login': 'vsbhatt'},G,A,M,06/01/2022,06/17/2024,,,,
dborton,Workday,000823131,found,{'brown_login': 'dborton'},G,A,F,07/01/2014,06/18/2012,,,,
jchepnge,Workday,140561331,found,{'brown_login': 'jchepnge'},G,A,E,08/05/2024,06/17/2024,N,06/12/2024,06/11/2025,
schrysan,Workday,100291932,found,{'brown_login': 'schrysan'},G,A,F,01/16/2017,06/23/2014,,,,
cclaibor,Workday,100720343,found,{'brown_login': 'cclaibor'},G,A,E,08/17/2016,06/27/2016,,,,
kdonohu2,Workday,140163610,found,{'brown_login': 'kdonohu2'},G,A,E,09/04/2018,06/25/2018,,,,
ddorfma1,Workday,140383411,found,{'brown_login': 'ddorfma1'},G,A,F,10/24/2025,06/16/2025,,,,
